Probe_ID,Healthy_Mean,Cancer_Mean,Log2FC,Gene
11745391_x_at,9.397680405405405,10.301065306122448,0.1201970593844277,
11745392_a_at,3.6444695945945944,5.44755306122449,0.4732378928914276,
11745393_x_at,3.3753479729729725,4.991630612244898,0.4535509239363251,
11745394_x_at,2.2967493243243244,2.2030897959183675,-0.04157994923175634,
11745395_a_at,2.565678378378378,2.494066326530612,-0.029269584132536997,
11745396_x_at,5.235794594594594,4.895277551020408,-0.0810136696120467,
11745397_a_at,5.171448648648649,5.036872448979592,-0.03180785940234676,
11745398_a_at,3.451904054054054,3.734882653061224,0.08890617057760997,
11745399_a_at,2.5991871621621625,2.525580612244898,-0.029810258001622625,
11745400_a_at,5.003121621621622,5.861057142857143,0.19271798524803252,
11745401_x_at,6.306618243243244,6.959616326530612,0.12349505965599628,
11745402_a_at,2.425484459459459,2.467094897959184,0.017419285135390705,
11745403_a_at,2.593609459459459,2.473290816326531,-0.04913041879064206,
11745404_a_at,2.572279054054054,2.577505102040816,0.0021090412499373823,
11745405_x_at,2.544327027027027,2.482615306122449,-0.025340604342818596,
11745406_a_at,7.492903378378379,6.9592051020408165,-0.09363348307211217,
11745407_s_at,3.654974324324324,3.1700836734693874,-0.15869687836797963,
11745408_a_at,3.0595932432432433,2.976157142857143,-0.029960406561661435,
11745409_a_at,3.740997297297297,3.790230612244898,0.014904541521315373,
11745410_a_at,2.6735466216216213,2.387163265306122,-0.117096056105501,
11745411_a_at,2.633752027027027,3.0113908163265313,0.1426425587846336,
11745412_s_at,2.62987972972973,2.6530367346938775,0.009174513802238105,
11745413_a_at,2.633627702702703,2.3789857142857147,-0.1048203592045358,
11745414_a_at,4.218756756756757,4.185304081632653,-0.0092775648999055,
11745415_a_at,5.559680405405405,5.904525510204082,0.07391674670807413,
11745416_x_at,6.4203,6.664431632653061,0.04670129499534603,
11745417_a_at,2.801069594594595,2.799829591836735,-0.00047071952974109266,
11745418_a_at,2.5879770270270273,2.753617346938775,0.0651109327046624,
11745419_a_at,2.4153371621621615,2.459554081632653,0.018558085592005558,
11745420_a_at,2.226220945945946,2.255222448979592,0.01291089076764429,
11745421_a_at,6.3022493243243245,7.022404081632654,0.13569370703112105,
11745422_a_at,2.520975,2.2659744897959184,-0.1084614614659396,
11745423_x_at,3.1333844594594593,3.2979734693877547,0.05633301761163079,
11745424_a_at,6.50302027027027,7.510788775510204,0.18182139048774149,
11745425_a_at,6.028343918918918,5.967923469387753,-0.012456010159337616,
11745426_a_at,2.6857689189189187,2.595387755102041,-0.035818252615193336,
11745427_x_at,4.508786486486486,5.6132724489795915,0.2636297909681331,
11745428_a_at,4.530814189189189,5.379878571428571,0.20603709064193865,
11745429_x_at,4.288489864864865,4.9554989795918365,0.17136657119185328,
11745430_x_at,2.1889844594594594,2.3131530612244897,0.05510778758790913,
11745431_a_at,7.9549324324324315,7.5164459183673475,-0.07243105588306387,
11745432_a_at,3.325999324324324,3.7275520408163265,0.1280598994600095,
11745433_a_at,5.2506702702702714,6.021880612244897,0.1678465665942035,
11745434_a_at,2.0915885135135133,2.0509173469387756,-0.019105215088507377,
11745435_a_at,5.979595945945945,6.252525510204082,0.055339944849421396,
11745436_a_at,6.796195270270271,6.654578571428571,-0.026447274787316122,
11745437_a_at,4.360923648648648,4.488019387755102,0.03380399009436408,
11745438_x_at,7.077243918918919,7.500042857142858,0.0736070083375222,
11745439_x_at,6.155852027027027,6.182552040816325,0.005372985978982392,
11745440_s_at,7.294403378378378,7.660546938775511,0.06231992726803348,
11745441_x_at,2.3846986486486483,3.4972306122448984,0.41000947404274757,
